colorset-name,color-key,type,R,G,B
blueprint,default,rgb,0,160,255
blueprint,-background-base-main-,rgb,0,160,255
blueprint,-railway-normal-main-,rgb,255,255,255
blueprint,-railway-shinkansen-main-,rgb,255,255,255
blueprint,-railway-all-back-,rgb,0,160,255
blueprint,-railway-subway-main-,rgb,255,255,255
blueprint,-railway-normal-blank-,rgb,51,180,255
blueprint,-railway-station-main-,rgb,255,255,255
blueprint,-road-major-main-,rgb,0,160,255
blueprint,-road-normal-main-,rgb,0,160,255
blueprint,-road-highway-main-,rgb,0,160,255
blueprint,-road-prefectural-main-,rgb,0,160,255
blueprint,-road-expressway-main-,rgb,51,180,255
blueprint,-road-all-back-,rgb,255,255,255
blueprint,-road-edge-,rgb,255,255,255
blueprint,-building-normal-main-,rgb,51,180,255
blueprint,-building-middle-main-,rgb,51,180,255
blueprint,-building-high-main-,rgb,51,180,255
blueprint,-building-normal-outline-,rgb,255,255,255
blueprint,-wetland-main-main-,rgb,255,255,255
blueprint,-landform-main-main-,rgb,255,255,255
blueprint,-water-main-main-,rgb,210,240,255
blueprint,-water-main-vivid-,rgb,255,255,255
blueprint,-water-main-blank-,rgb,255,255,255
blueprint,-border-muni-main-,rgb,255,255,255
blueprint,-text-gray-main-,rgb,255,255,255
blueprint,-text-black-main-,rgb,255,255,255
blueprint,-text-green-main-,rgb,255,255,255
blueprint,-text-blue-main-,rgb,255,255,255
blueprint,-text-white-main-,rgb,255,255,255
blueprint,-text-white-halo-,rgb,0,160,255
blueprint,-line-gray-,rgb,255,255,255
