colorset-name,color-key,type,R,G,B
dark,default,rgb,30,30,30
dark,-background-base-main-,rgb,30,30,30
dark,-railway-normal-main-,rgb,180,180,180
dark,-railway-shinkansen-main-,rgb,255,255,255
dark,-railway-all-back-,rgb,30,30,30
dark,-railway-subway-main-,rgb,180,180,180
dark,-railway-normal-blank-,rgb,50,50,50
dark,-railway-station-main-,rgb,180,180,180
dark,-road-major-main-,rgb,60,60,60
dark,-road-normal-main-,rgb,40,40,40
dark,-road-highway-main-,rgb,80,80,80
dark,-road-prefectural-main-,rgb,60,60,60
dark,-road-expressway-main-,rgb,150,150,150
dark,-road-all-back-,rgb,30,30,30
dark,-road-edge-,rgb,35,35,35
dark,-building-normal-main-,rgb,20,20,20
dark,-building-middle-main-,rgb,40,40,40
dark,-building-high-main-,rgb,100,100,100
dark,-building-normal-outline-,rgb,10,10,10
dark,-wetland-main-main-,rgb,60,60,60
dark,-landform-main-main-,rgb,50,50,50
dark,-water-main-main-,rgb,0,0,0
dark,-water-main-vivid-,rgb,80,80,80
dark,-water-main-blank-,rgb,0,0,0
dark,-border-muni-main-,rgb,180,180,180
dark,-text-gray-main-,rgb,150,150,150
dark,-text-black-main-,rgb,200,200,200
dark,-text-green-main-,rgb,230,230,230
dark,-text-blue-main-,rgb,200,200,200
dark,-text-white-main-,rgb,255,255,255
dark,-text-white-halo-,rgb,50,50,50
dark,-line-gray-,rgb,80,80,80
