colorset-name,color-key,type,R,G,B
dark2,default,rgb,30,30,30
dark2,-background-base-main-,rgb,30,30,30
dark2,-railway-normal-main-,rgb,79,226,255
dark2,-railway-shinkansen-main-,rgb,255,255,255
dark2,-railway-all-back-,rgb,30,30,30
dark2,-railway-subway-main-,rgb,161,218,230
dark2,-railway-normal-blank-,rgb,50,50,50
dark2,-railway-station-main-,rgb,79,226,255
dark2,-road-major-main-,rgb,60,60,60
dark2,-road-normal-main-,rgb,40,40,40
dark2,-road-highway-main-,rgb,80,90,100
dark2,-road-prefectural-main-,rgb,60,60,60
dark2,-road-expressway-main-,rgb,100,110,120
dark2,-road-all-back-,rgb,30,30,30
dark2,-road-edge-,rgb,35,35,35
dark2,-building-normal-main-,rgb,20,25,30
dark2,-building-middle-main-,rgb,40,45,50
dark2,-building-high-main-,rgb,50,55,80
dark2,-building-normal-outline-,rgb,20,20,30
dark2,-wetland-main-main-,rgb,100,100,100
dark2,-landform-main-main-,rgb,50,50,50
dark2,-water-main-main-,rgb,0,0,0
dark2,-water-main-vivid-,rgb,80,80,80
dark2,-water-main-blank-,rgb,0,0,0
dark2,-border-muni-main-,rgb,180,180,180
dark2,-text-gray-main-,rgb,150,150,150
dark2,-text-black-main-,rgb,200,200,200
dark2,-text-green-main-,rgb,200,230,255
dark2,-text-blue-main-,rgb,200,200,255
dark2,-text-white-main-,rgb,255,255,255
dark2,-text-white-halo-,rgb,50,50,50
dark2,-line-gray-,rgb,80,90,100
