colorset-name,color-key,type,R,G,B
basic,default,rgb,0,0,255
basic,-background-base-main-,rgb,247,248,248
basic,-railway-normal-main-,rgb,128,128,128
basic,-railway-shinkansen-main-,rgb,0,0,255
basic,-railway-all-back-,rgb,0,0,255
basic,-railway-subway-main-,rgb,115,132,140
basic,-railway-normal-blank-,rgb,255,255,255
basic,-railway-station-main-,rgb,179,188,193
basic,-road-major-main-,rgb,0,0,255
basic,-road-normal-main-,rgb,230,230,230
basic,-road-highway-main-,rgb,219,223,225
basic,-road-prefectural-main-,rgb,174,184,188
basic,-road-expressway-main-,rgb,115,132,140
basic,-road-all-back-,rgb,0,0,255
basic,-road-edge-,rgb,179,179,179
basic,-building-normal-main-,rgb,230,230,230
basic,-building-middle-main-,rgb,219,219,219
basic,-building-high-main-,rgb,209,209,209
basic,-building-normal-outline-,rgb,199,199,199
basic,-wetland-main-main-,rgb,235,238,239
basic,-landform-main-main-,rgb,182,205,216
basic,-water-main-main-,rgb,219,223,225
basic,-water-main-vivid-,rgb,123,139,147
basic,-water-main-blank-,rgb,0,0,255
basic,-border-muni-main-,rgb,193,201,205
basic,-text-gray-main-,rgb,99,99,99
basic,-text-black-main-,rgb,48,48,48
basic,-text-green-main-,rgb,41,65,76
basic,-text-blue-main-,rgb,0,0,255
basic,-text-white-main-,rgb,255,255,255
basic,-text-white-halo-,rgb,255,255,255
basic,-line-gray-,rgb,128,128,128
