colorset-name,color-key,type,R,G,B
radar,default,rgb,0,0,0
radar,-background-base-main-,rgb,0,0,0
radar,-railway-normal-main-,rgb,0,255,100
radar,-railway-shinkansen-main-,rgb,0,255,100
radar,-railway-all-back-,rgb,0,0,0
radar,-railway-subway-main-,rgb,0,255,100
radar,-railway-normal-blank-,rgb,0,25,10
radar,-railway-station-main-,rgb,0,255,100
radar,-road-major-main-,rgb,0,0,0
radar,-road-normal-main-,rgb,0,0,0
radar,-road-highway-main-,rgb,0,0,0
radar,-road-prefectural-main-,rgb,0,0,0
radar,-road-expressway-main-,rgb,0,0,0
radar,-road-all-back-,rgb,0,255,100
radar,-road-edge-,rgb,0,255,100
radar,-building-normal-main-,rgb,0,255,100
radar,-building-middle-main-,rgb,0,255,100
radar,-building-high-main-,rgb,0,255,100
radar,-wetland-main-main-,rgb,0,255,100
radar,-landform-main-main-,rgb,0,255,100
radar,-water-main-main-,rgb,30,30,30
radar,-water-main-vivid-,rgb,0,255,100
radar,-water-main-blank-,rgb,0,255,100
radar,-border-muni-main-,rgb,0,255,100
radar,-text-gray-main-,rgb,0,255,100
radar,-text-black-main-,rgb,0,255,100
radar,-text-green-main-,rgb,0,255,100
radar,-text-blue-main-,rgb,0,255,100
radar,-text-white-main-,rgb,0,255,100
radar,-text-white-halo-,rgb,0,0,0
radar,-line-gray-,rgb,0,255,100
