colorset-name,color-key,type,R,G,B
basic,default,rgb,255,255,240
basic,-background-base-main-,rgb,255,255,240
basic,-railway-normal-main-,rgb,100,100,100
basic,-railway-shinkansen-main-,rgb,0,0,255
basic,-railway-all-back-,rgb,255,255,240
basic,-railway-subway-main-,rgb,0,0,255
basic,-railway-normal-blank-,rgb,255,255,255
basic,-railway-station-main-,rgb,255,120,120
basic,-road-major-main-,rgb,240,200,120
basic,-road-normal-main-,rgb,230,230,230
basic,-road-highway-main-,rgb,255,190,190
basic,-road-prefectural-main-,rgb,255,210,110
basic,-road-expressway-main-,rgb,0,150,0
basic,-road-all-back-,rgb,220,220,220
basic,-road-edge-,rgb,180,180,180
basic,-building-normal-main-,rgb,230,230,230
basic,-building-middle-main-,rgb,220,220,220
basic,-building-high-main-,rgb,210,210,210
basic,-building-normal-outline-,rgb,200,200,200
basic,-wetland-main-main-,rgb,235,242,235
basic,-landform-main-main-,rgb,230,230,170
basic,-water-main-main-,rgb,190,210,255
basic,-water-main-vivid-,rgb,20,90,255
basic,-water-main-blank-,rgb,255,255,255
basic,-border-muni-main-,rgb,200,145,255
basic,-text-gray-main-,rgb,100,100,100
basic,-text-black-main-,rgb,50,50,50
basic,-text-green-main-,rgb,20,100,70
basic,-text-blue-main-,rgb,0,0,150
basic,-text-white-main-,rgb,255,255,255
basic,-text-white-halo-,rgb,255,255,255
basic,-line-gray-,rgb,120,120,120

